city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
gz,福特 翼搏 2013款 1.5L 手动舒适型,福特,翼搏,手动舒适型,2014,2.9,1.5L,4.64,10.30,到店服务,严选车
gz,大众 宝来 2013款 1.6L 自动舒适型,大众,宝来,自动舒适型,2013,5.2,1.6L,6.13,13.90,到店服务,严选车
gz,长安 逸动 2015款 1.6L 手动豪华型 国V,长安,逸动,手动豪华型 国V,2015,4.4,1.6L,4.13,8.80,到店服务,严选车
gz,吉利 博越 2018款 1.8TD 自动两驱智尊型4G互联版,吉利,博越,D 自动两驱智尊型4G互联版,2018,3.1,1.8T,11.47,16.50,到店服务,严选车
gz,日产 轩逸 2016款 经典 1.6XE 手动舒适版,日产,轩逸,,2017,2.3,,6.13,10.80,到店服务,严选车
gz,雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,雪佛兰,科帕奇,四驱旗舰版 7座,2012,11.1,2.4L,7.80,28.60,到店服务,严选车
gz,福特 翼虎 2013款 2.0L GTDi 四驱运动型,福特,翼虎,GTDi 四驱运动型,2013,6.0,2.0L,11.40,28.50,到店服务,严选车
gz,比亚迪S7 2015款 2.0T 升级版 自动尊贵型,比亚迪S7,,升级版 自动尊贵型,2015,2.5,2.0T,6.79,14.10,到店服务,严选车
gz,日产 逍客 2012款 2.0XL 火 CVT 2WD,日产,逍客,,2013,5.2,,7.98,17.90,到店服务,严选车
gz,斯柯达 昕锐 2013款 1.6L 自动智选型,斯柯达,昕锐,自动智选型,2013,13.3,1.6L,4.67,4.79,到店服务,严选车
gz,哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,哈弗H6,,自动两驱豪华型,2016,4.5,1.5T,6.97,7.3,到店服务,严选车
gz,起亚K2 2011款 三厢 1.4L AT GLS,起亚K2,,AT GLS,2011,14.9,1.4L,3.12,9.30,到店服务,严选车
gz,日产 阳光 2015款 1.5XE CVT舒适版,日产,阳光,,2016,2.5,,5.79,9.70,到店服务,严选车
gz,本田 冠道 2017款 240TURBO 两驱豪华版,本田,冠道,,2018,3.0,,22.17,27.50,到店服务,严选车
gz,宝骏630 2013款 1.8L 自动精英型,宝骏630,,自动精英型,2013,9.0,1.8L,2.85,10.40,到店服务,严选车
gz,海马M3 2016款 1.5L 手动时尚型,海马M3,,手动时尚型,2017,1.4,1.5L,3.75,3.88,到店服务,严选车
