city,title,brand,brand_series,version,year,distance,disaplacement,price,guiding_price,service,is_strict
sh,奔驰E级 2015款 E 260 L 运动时尚型,奔驰E级,,,2016,6.0,,28.67,54.10,店内直卖,严选车
sh,凯迪拉克XT5 2018款 25T 豪华型,凯迪拉克XT5,,,2018,2.6,,27.97,42.30,到店服务,严选车
sh,雪佛兰 科鲁兹 2013款 1.6L SL MT,雪佛兰,科鲁兹,SL MT,2012,3.8,1.6L,3.54,11.80,到店服务,严选车
sh,奥迪A1 2012款 1.4 TFSI Ego(进口),奥迪A1,,,2015,5.0,,10.01,27.10,店内直卖,严选车
sh,福特 福克斯 2012款 三厢 1.6L 自动风尚型,福特,福克斯,自动风尚型,2013,5.0,1.6L,5.73,15.60,到店服务,严选车
sh,大众POLO 2016款 1.4L 自动风尚型,大众POLO,,自动风尚型,2016,1.1,1.4L,6.22,9.50,到店服务,严选车
sh,大众 帕萨特 2011款 1.8TSI DSG御尊版,大众,帕萨特,SI DSG御尊版,2012,5.9,1.8T,9.83,10.24,到店服务,严选车
sh,长安 逸动 2015款 1.6L 手动豪华型 国IV,长安,逸动,手动豪华型 国IV,2016,4.0,1.6L,3.99,4.14,到店服务,严选车
sh,铃木 维特拉 2016款 1.4T 自动两驱豪华型,铃木,维特拉,自动两驱豪华型,2016,3.5,1.4T,8.50,15.20,到店服务,非严选
sh,别克 君越 2013款 2.0T SIDI 技术型,别克,君越,SIDI 技术型,2013,8.8,2.0T,9.69,9.91,到店服务,严选车
sh,别克 昂科威 2016款 28T 四驱豪华型,别克,昂科威,,2016,2.4,,16.42,32.60,到店服务,严选车
sh,雪佛兰 迈锐宝 2013款 2.0L 自动豪华版,雪佛兰,迈锐宝,自动豪华版,2013,4.3,2.0L,8.51,19.70,到店服务,严选车
sh,别克 英朗 2013款 GT 1.6L 自动时尚版,别克,英朗,自动时尚版,2012,8.3,1.6L,4.49,4.7,到店服务,严选车
sh,斯巴鲁 傲虎 2013款 2.5i 运动版,斯巴鲁,傲虎,,2013,11.4,,12.37,12.83,到店服务,严选车
sh,丰田 YARiS L 致炫 2014款 1.3E 自动魅动版,丰田,YARiS,,2015,4.9,,4.97,9.00,到店服务,严选车
sh,奥迪A3 2016款 Limousine 35 TFSI 进取型,奥迪A3,,,2016,1.8,,13.84,20.70,到店服务,严选车
sh,大众 2016款 途安L 280TSI 自动舒雅版,大众,,自动舒雅版,2016,5.0,280TSI,11.39,11.8,到店服务,严选车
sh,雪铁龙C5 2013款 2.0L 自动尊享型,雪铁龙C5,,自动尊享型,2013,12.6,2.0L,6.11,20.60,到店服务,严选车
sh,欧宝 安德拉 2011款 2.4 豪华两驱版,欧宝,安德拉,,2012,7.9,,7.31,31.00,到店服务,严选车
sh,别克 英朗 2013款 GT 1.6L 手动进取版,别克,英朗,手动进取版,2013,10.3,1.6L,4.05,4.2,到店服务,严选车
sh,斯柯达 明锐 2012款 1.6L 手动逸致版,斯柯达,明锐,手动逸致版,2012,14.0,1.6L,3.00,13.40,到店服务,非严选
sh,别克GL8 2014款 3.0L XT豪华商务旗舰版,别克GL8,,XT豪华商务旗舰版,2014,11.3,3.0L,17.73,43.40,到店服务,严选车
sh,大众 朗逸 2011款 1.6L 自动品雅版,大众,朗逸,自动品雅版,2011,14.6,1.6L,4.28,4.33,到店服务,严选车
sh,凯迪拉克SRX 2015款 3.0L 舒适型(进口),凯迪拉克SRX,,舒适型(进口),2016,3.5,3.0L,20.21,20.91,到店服务,严选车
sh,日产 轩逸 2018款 1.6XV CVT尊享版,日产,轩逸,,2018,2.1,,9.94,15.00,到店服务,严选车
sh,雪佛兰 科帕奇 2012款 2.4L 四驱旗舰版 7座,雪佛兰,科帕奇,四驱旗舰版 7座,2013,11.5,2.4L,7.33,7.73,到店服务,严选车
sh,雪佛兰 科鲁兹 2012款 1.6L SE MT,雪佛兰,科鲁兹,SE MT,2012,4.7,1.6L,3.78,13.00,到店服务,严选车
sh,大众 朗逸 2013款 改款经典 1.6L 手动风尚版,大众,朗逸,手动风尚版,2013,4.3,1.6L,5.01,5.25,到店服务,严选车
sh,雪佛兰 科鲁兹 2013款 1.6L SL MT,雪佛兰,科鲁兹,SL MT,2013,6.3,1.6L,3.68,11.80,到店服务,严选车
sh,斯柯达 昊锐 2009款 2.0TSI 自动尊雅版,斯柯达,昊锐,SI 自动尊雅版,2011,12.6,2.0T,6.76,27.20,到店服务,严选车
sh,别克 昂科拉 2014款 1.4T 自动两驱都市精英型,别克,昂科拉,自动两驱都市精英型,2014,8.2,1.4T,6.17,17.40,到店服务,严选车
sh,大众 桑塔纳 2015款 1.6L 自动舒适版,大众,桑塔纳,自动舒适版,2016,2.7,1.6L,6.23,12.40,到店服务,严选车
sh,别克 英朗 2015款 15N 手动豪华型,别克,英朗,,2015,5.3,,5.90,13.80,到店服务,严选车
sh,荣威RX5 2016款 30T 四驱自动互联网智尊版,荣威RX5,,,2017,3.9,,9.51,20.30,到店服务,严选车
sh,福特 福克斯 2013款 两厢经典 1.8L 自动时尚型,福特,福克斯,自动时尚型,2015,3.5,1.8L,5.33,5.52,到店服务,严选车
sh,大众 宝来 2012款 1.6L 手动时尚型,大众,宝来,手动时尚型,2012,3.9,1.6L,3.85,11.70,到店服务,严选车
sh,别克 英朗 2012款 XT 1.6L 手动进取版,别克,英朗,手动进取版,2014,4.2,1.6L,4.59,4.73,到店服务,严选车
sh,北汽绅宝 绅宝D50 2014款 1.5L 手动舒适版,北汽绅宝,绅宝D50,手动舒适版,2015,4.8,1.5L,3.00,8.90,到店服务,非严选
sh,现代 索纳塔八 2013款 2.0L 自动领先版,现代,索纳塔八,自动领先版,2013,5.5,2.0L,7.81,19.50,到店服务,严选车
sh,传祺GA6 2016款 235T 自动豪华版,传祺GA6,,,2017,1.6,,7.86,8.06,到店服务,严选车
sh,现代 朗动 2016款 1.6L 自动尊贵型,现代,朗动,自动尊贵型,2016,3.0,1.6L,7.65,13.90,到店服务,严选车
sh,比亚迪S7 2015款 2.0T 自动尊贵型,比亚迪S7,,自动尊贵型,2015,2.3,2.0T,6.42,14.10,到店服务,严选车
sh,标致308 2014款 乐享版 经典 1.6L 手动优尚型,标致308,,手动优尚型,2015,6.8,1.6L,4.36,11.50,店内直卖,严选车
sh,大众 帕萨特 2013款 1.4TSI DSG尊荣版,大众,帕萨特,SI DSG尊荣版,2013,5.6,1.4T,9.50,22.70,到店服务,非严选
sh,MG5 2012款 1.5L 手动精英版,MG5,,手动精英版,2015,5.5,1.5L,3.27,3.32,到店服务,严选车
sh,雪佛兰 科鲁兹 2015款 1.5L 经典 SE AT,雪佛兰,科鲁兹,经典 SE AT,2016,3.2,1.5L,6.08,11.90,店内直卖,严选车
sh,别克 英朗 2010款 GT 1.6L 手动进取版,别克,英朗,手动进取版,2011,6.6,1.6L,3.55,14.90,到店服务,严选车
sh,奥迪A1 2014款 30 TFSI 时尚型(进口),奥迪A1,,,2015,2.0,,10.20,21.70,到店服务,严选车
